Name: CCTV-1, URL: http://123.10.79.164:808/hls/1/index.m3u8, Date: 04-11-2024, Resolution: 1920x1080 • Fastest, Response Time: 1038ms
Name: CCTV-1, URL: http://121.24.99.30:8090/hls/9/index.m3u8, Date: 04-11-2024, Resolution: 1920x1080, Response Time: 1040ms
Name: CCTV-1, URL: http://1.197.118.80:3838/rtp/239.16.20.1:10010, Date: 04-12-2024, Resolution: 1920x1080 • Fastest, Response Time: 1202ms
Name: CCTV-1, URL: http://1.198.26.192:808/hls/1/index.m3u8, Date: 04-12-2024, Resolution: 1920x1080 • Fastest, Response Time: 1231ms
Name: CCTV-1, URL: http://60.4.3.23:8888/rtp/239.253.92.83:8012, Date: 04-12-2024, Resolution: 1920x1080, Response Time: 1375ms
Name: CCTV-1, URL: http://171.11.172.73:808/hls/1/index.m3u8, Date: 04-11-2024, Resolution: 1920x1080 • Faster, Response Time: 1511ms
Name: CCTV-1, URL: http://117.43.217.34:20000/hls/1/index.m3u8, Date: 04-11-2024, Resolution: 1920x1080 • Fast, Response Time: 1535ms
Name: CCTV-1, URL: http://114.246.174.75:4022/rtp/239.3.1.64:8124, Date: 04-12-2024, Resolution: 1920x1080 • Faster, Response Time: 1583ms
Name: CCTV-1, URL: http://123.122.161.121:19999/rtp/239.3.1.129:8008, Date: 04-12-2024, Resolution: 1920x1080 • Faster, Response Time: 1657ms
Name: CCTV-1, URL: http://59.55.34.159:20000/hls/1/index.m3u8, Date: 04-12-2024, Resolution: 1920x1080 • Fast, Response Time: 2597ms
Name: CCTV-1, URL: http://pwd.unnas.top:4000/rtp/239.253.92.83:8012, Date: 04-12-2024, Resolution: 1920x1080 • Fast, Response Time: 2612ms
Name: CCTV-1, URL: http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8, Date: 04-12-2024, Resolution: 1920x1080 • Fastest, Response Time: 4196ms
Name: CCTV-1, URL: http://stream.smntv.cn/smtv1/sd/live.m3u8, Date: 04-12-2024, Resolution: 1280x720 • Fastest, Response Time: 1491ms
Name: CCTV-1, URL: http://stream.smntv.cn/smtv1/sd/live.m3u8, Date: 04-12-2024, Resolution: 1280x720 • Fastest, Response Time: 2500ms
Name: CCTV-1, URL: http://113.205.185.28:8089/newlive/live/hls/11/live.m3u8, Date: 04-12-2024, Resolution: None, Response Time: 1040ms
Name: CCTV-1, URL: http://113.205.185.28:8089/newlive/live/hls/2/live.m3u8, Date: 04-12-2024, Resolution: None, Response Time: 1041ms
Name: CCTV-1, URL: http://113.205.185.28:8089/newlive/live/hls/13/live.m3u8, Date: 04-12-2024, Resolution: None, Response Time: 1339ms
Name: CCTV-1, URL: http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8, Date: 04-12-2024, Resolution:  Fastest, Response Time: 2066ms
Name: CCTV-1, URL: http://113.205.185.28:8089/newlive/live/hls/12/live.m3u8, Date: 04-12-2024, Resolution: None, Response Time: 2823ms
Name: CCTV-1, URL: http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8, Date: 04-12-2024, Resolution:  Fastest, Response Time: 3959ms
Name: CCTV-1, URL: http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8, Date: 04-12-2024, Resolution:  Faster, Response Time: 4398ms
